OID,OBJECTID,Codigo,Abscisa_in,Abscisa_fi,Abscisa_pl,GlobalID_1,SHAPE_Leng,ID_dragado,Volumen_m3,Longitud,Fecha_inic,Fecha_fina,Draga,Contrato,Estado,Tramo,Municipio,Shape_Le_1,Shape_Area,concatenad
-1,41,08000122000250719,K2+000,K8+000,0.0000000,{99D87179-4668-4036-B009-0829A6BB59F2},12590.721765800000867,29,136137.000000000000000,6000.000000000000000,25/07/2019 0:00:00,14/08/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,12590.721765755410161,1793414.862654097843915,29Barranquilla
-1,42,0000001500070919,K0-500,K2+000,0.0000000,{4D4B524B-E250-461F-943C-D0B5317464C4},5595.253667940000014,30,114504.000000000000000,2500.000000000000000,7/09/2019 0:00:00,17/09/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,5595.232142529679550,747530.514567781123333,30Barranquilla
-1,43,08000122000070919,K2+000,K2+600,0.0000000,{3F8F2F7A-F70C-456D-9E5C-8F30FDC29BC0},1749.492793480000046,31,27481.000000000000000,600.000000000000000,7/09/2019 0:00:00,17/09/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1749.492793478912063,172404.373505325580481,31Barranquilla
-1,44,080001312800170919,K12+800,K14+800,0.0000000,{A03377A8-BC50-41B1-BB9A-CF90BE047EFB},4682.168946159999905,32,71884.000000000000000,2000.000000000000000,17/09/2019 0:00:00,24/09/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,4682.155730334834516,609498.109351655002683,32Barranquilla
-1,45,080001419400081019,K19+400,K21+600,0.0000000,{3F191311-9774-4344-8CC4-78EF7F4E3B21},4975.939353409999967,33,168330.000000000000000,2200.000000000000000,8/10/2019 0:00:00,22/10/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,4975.939353405772636,653894.423930746619590,33Barranquilla
-1,46,0800011100231019,K0+100,K1+400,0.0000000,{5FD0CB19-5CE5-4A7D-AB35-A350BCDFA47B},3013.216003380000075,34,178949.000000000000000,1300.000000000000000,23/10/2019 0:00:00,3/11/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3013.216003379136964,361932.933613450673874,34Barranquilla
-1,47,080001312800021119,K12+800,K15+200,0.0000000,{02C8BD0F-D464-4F35-81E2-DDF46186C949},5142.119506189999811,35,275686.000000000000000,2400.000000000000000,2/11/2019 0:00:00,21/11/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,5142.113047958011521,682990.122187892557122,35Barranquilla
-1,49,080001419400191219,K19+400,K21+600,0.0000000,{A45FCDE8-B0F8-4290-8694-20693979915B},4959.270369859999846,36,99109.000000000000000,2200.000000000000000,19/12/2019 0:00:00,26/12/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,4959.270369864306303,653873.483523330884054,36Barranquilla
-1,52,0000001200211119,K0-200,K0+100,0.0000000,{D60A4F9E-1B9F-40FE-AA2A-108287F80739},1467.499092159999918,37,41009.000000000000000,300.000000000000000,23/10/2019 0:00:00,3/11/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1467.492713959626599,130419.615510412026197,37Barranquilla
-1,53,80001419400241200,K19+400,K21+600,0.0000000,{8A005CE1-34F8-4DD4-A1C6-54D16C757432},4436.551602700000331,38,42673.000000000000000,2200.000000000000000,24/12/2019 0:00:00,30/12/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,4436.551602696178634,572961.751195398392156,38Barranquilla
-1,54,08000110271219,K0+000,K1+000,0.0000000,{1CFC83AC-8CC5-4DD4-AA4A-8B28FD973769},2600.000733540000056,39,42411.000000000000000,1000.000000000000000,27/12/2019 0:00:00,31/12/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2600.000733544126888,300000.044196566042956,39Barranquilla
-1,55,08000110050220,K0+000,K0+700,0.0000000,{0826DE5C-A558-485B-9A2E-DA9EAD852DE4},2020.085343329999887,40,129070.000000000000000,700.000000000000000,5/02/2020 0:00:00,27/02/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2020.085343331845706,213012.293503926804988,40Barranquilla
-1,56,080001313500070320,K13+500,K14+900,0.0000000,{0372B17B-DE37-4F48-8AA2-6D20290A848C},3620.770815559999846,41,157035.000000000000000,1400.000000000000000,7/03/2020 0:00:00,20/03/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3620.740758149451267,416572.888459075358696,41Barranquilla
-1,57,08000110190320,K0+000,K0+700,0.0000000,{FCB52977-974F-4355-A4CF-09BFAC327EB8},2020.085343329999887,42,40774.000000000000000,700.000000000000000,19/03/2020 0:00:00,17/04/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2020.085343331861623,213012.286183109419653,42Barranquilla
-1,58,0000001500010420,K-500,K0+000,0.0000000,{FAFFAE59-D1EB-411F-9E32-93E4E2AAEE95},1604.912237739999910,43,25267.000000000000000,500.000000000000000,1/04/2020 0:00:00,17/04/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1604.890712341258222,147742.497852365631843,43Barranquilla
-1,59,0000001500190420,K0-500,K0+000,0.0000000,{FC022251-8C78-44CF-9CB9-784ED18B3670},1604.912237739999910,44,105383.000000000000000,500.000000000000000,19/04/2020 0:00:00,18/05/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1604.890712341258222,147742.497852365631843,44Barranquilla
-1,60,08000110180520,K0+000,K+280,0.0000000,{F91DC81C-82A9-4FC5-9E1A-2F84611788A5},1247.383322820000103,45,10602.000000000000000,280.000000000000000,18/05/2020 0:00:00,19/05/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1247.383322823181743,97103.336038135937997,45Barranquilla
-1,61,080001312800190520,K12+800,K15+200,0.0000000,{C4E3605E-624B-44D7-8D59-91CFC979E5A0},5142.643538409999564,46,169841.000000000000000,2400.000000000000000,19/05/2020 0:00:00,2/06/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,5142.637080175958545,682874.247483355575241,46Barranquilla
-1,63,08000111000010620,K1+000,K2+000,0.0000000,{D46BD92A-5CF9-4B4D-ACBB-A3F7A6CF3D5B},2600.000231089999943,47,157253.000000000000000,1000.000000000000000,1/06/2020 0:00:00,10/06/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2600.000231085479300,300000.005230123526417,47Barranquilla
-1,64,08000122000010620,K2+000,K2+600,0.0000000,{51D8A13A-2DB1-4BCA-8757-99EA7CB92972},1749.492793480000046,48,94352.000000000000000,600.000000000000000,1/06/2020 0:00:00,10/06/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1749.492793479430475,172404.398924618260935,48Barranquilla
-1,65,0000001500100620,K0-500,K1+000,0.0000000,{926501D0-0759-4A5C-8272-F325044901FD},1600.000275099999953,49,63494.000000000000000,1500.000000000000000,10/06/2020 0:00:00,16/06/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1600.000275096718269,150000.046512671106029,49Barranquilla
-1,67,0000001100260620,K0-100,K1+000,0.0000000,{C247632B-CC34-4C37-8B38-68620699B499},2459.994857350000075,50,89110.000000000000000,1100.000000000000000,26/06/2020 0:00:00,4/07/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2459.994857352658983,278994.290050500538200,50Barranquilla
-1,68,08000126800080720,K6+800,K8+000,0.0000000,{541A7F09-D744-4AC5-8FF3-F8065253C051},2909.340816030000042,51,70836.000000000000000,1200.000000000000000,8/07/2020 0:00:00,14/07/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2909.331531778284898,346002.886064591410104,51Barranquilla
-1,69,08000138000080720,K8+000,K8+600,0.0000000,{E989DD65-0A4C-4BD4-B90A-E2C4B518F0CC},1801.429133240000056,52,35413.000000000000000,600.000000000000000,8/07/2020 0:00:00,14/07/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1801.429133244655077,180208.033329274592688,52Barranquilla
-1,70,08000110170720,K0+000,K0+770,0.0000000,{9519772A-3A34-4A7B-8385-BF299A9AEF6F},2063.156394309999996,53,8441.000000000000000,770.000000000000000,17/07/2020 0:00:00,19/07/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2063.156394310371525,219090.760248242557282,53Barranquilla
-1,71,08000110300720,K0+000,K1+000,0.0000000,{E92438B9-5AB8-47FF-822D-234443399574},2600.000733540000056,54,53871.000000000000000,1000.000000000000000,30/07/2020 0:00:00,3/08/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2600.000733541004593,300000.098075084853917,54Barranquilla
-1,72,080001313120080820,K13+120,K13+870,0.0000000,{5433CD52-933D-436C-A7D4-278565119EE2},2207.132288159999916,55,3027.000000000000000,750.000000000000000,8/08/2020 0:00:00,12/08/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2207.132288163615613,241066.893533752299845,55Barranquilla
-1,73,08000110130820,K0+000,K0+500,0.0000000,{8A63DF72-FC30-4B00-8329-AF9E951FCEF0},1600.000402910000048,56,33106.000000000000000,500.000000000000000,13/08/2020 0:00:00,28/08/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1600.000402913668040,150000.049014623422408,56Barranquilla
-1,74,0000001500280820,K0-500,K0+000,0.0000000,{9B97263B-7D0A-4E13-A245-60840FDDF35C},1595.252592240000013,57,2988.000000000000000,500.000000000000000,28/08/2020 0:00:00,30/08/2020 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1595.231066849370563,147530.396589727490209,57Barranquilla
